no,nama_barang,kategori,kode_barang
2985,Point Tranter Device,PERALATAN DAN MESIN,1.3.2.06.01.05.004
2986,Trestirial Camera,PERALATAN DAN MESIN,1.3.2.06.01.05.005
2987,Slohed Temlet,PERALATAN DAN MESIN,1.3.2.06.01.05.006
2988,Sketch Master,PERALATAN DAN MESIN,1.3.2.06.01.05.007
2989,Rectifier (Peralatan Studio Pemetaan/peralatan Ukur Tanah),PERALATAN DAN MESIN,1.3.2.06.01.05.008
2990,Optical Pantograph,PERALATAN DAN MESIN,1.3.2.06.01.05.009
2991,Contact Printer,PERALATAN DAN MESIN,1.3.2.06.01.05.010
2992,Pengering Photo,PERALATAN DAN MESIN,1.3.2.06.01.05.011
2993,Vacum Frame,PERALATAN DAN MESIN,1.3.2.06.01.05.012
2994,Coordinatograph,PERALATAN DAN MESIN,1.3.2.06.01.05.013
2995,Pemotong Film,PERALATAN DAN MESIN,1.3.2.06.01.05.014
2996,Streoscope Tanah,PERALATAN DAN MESIN,1.3.2.06.01.05.015
2997,Waterpas,PERALATAN DAN MESIN,1.3.2.06.01.05.016
2998,Theodolite (Peralatan Studio Pemetaan/peralatan Ukur Tanah),PERALATAN DAN MESIN,1.3.2.06.01.05.017
2999,Distomat,PERALATAN DAN MESIN,1.3.2.06.01.05.018
3000,B.T.M,PERALATAN DAN MESIN,1.3.2.06.01.05.019
3001,Level,PERALATAN DAN MESIN,1.3.2.06.01.05.020
3002,Jalon,PERALATAN DAN MESIN,1.3.2.06.01.05.021
3003,Rambu/Bak Ukur,PERALATAN DAN MESIN,1.3.2.06.01.05.022
3004,Kompas Geologi,PERALATAN DAN MESIN,1.3.2.06.01.05.023
3005,Clinometer,PERALATAN DAN MESIN,1.3.2.06.01.05.024
3006,Altimeter (Peralatan Studio Pemetaan/peralatan Ukur Tanah),PERALATAN DAN MESIN,1.3.2.06.01.05.025
3007,Holiometer,PERALATAN DAN MESIN,1.3.2.06.01.05.026
3008,Telescope (Peralatan Studio Pemetaan/peralatan Ukur Tanah),PERALATAN DAN MESIN,1.3.2.06.01.05.027
3009,Passer Doss,PERALATAN DAN MESIN,1.3.2.06.01.05.028
3010,Curvermeter,PERALATAN DAN MESIN,1.3.2.06.01.05.029
3011,Rollmeter,PERALATAN DAN MESIN,1.3.2.06.01.05.030
3012,Meet Band,PERALATAN DAN MESIN,1.3.2.06.01.05.031
3013,Busur Derajat,PERALATAN DAN MESIN,1.3.2.06.01.05.032
3014,Chronometer (Peralatan Studio Pemetaan/peralatan Ukur Tanah),PERALATAN DAN MESIN,1.3.2.06.01.05.033
3015,Gawang Lokasi,PERALATAN DAN MESIN,1.3.2.06.01.05.034
3016,Kompas (Peralatan Studio Pemetaan/peralatan Ukur Tanah),PERALATAN DAN MESIN,1.3.2.06.01.05.035
3017,Sextant,PERALATAN DAN MESIN,1.3.2.06.01.05.036
3018,Teropong/Keker,PERALATAN DAN MESIN,1.3.2.06.01.05.037
3019,GPS Receiver,PERALATAN DAN MESIN,1.3.2.06.01.05.038
3020,Ground Paretrating Radar,PERALATAN DAN MESIN,1.3.2.06.01.05.039
3021,Teken Schaal/Jangka Tusuk,PERALATAN DAN MESIN,1.3.2.06.01.05.040
3022,Pantograph,PERALATAN DAN MESIN,1.3.2.06.01.05.041
3023,Plani Meter,PERALATAN DAN MESIN,1.3.2.06.01.05.042
3024,Prisma Roelak,PERALATAN DAN MESIN,1.3.2.06.01.05.043
3025,Prisma Meter,PERALATAN DAN MESIN,1.3.2.06.01.05.044
3026,Prisma Ukur,PERALATAN DAN MESIN,1.3.2.06.01.05.045
3027,Ruiter Plaat,PERALATAN DAN MESIN,1.3.2.06.01.05.046
3028,Kamera Udara,PERALATAN DAN MESIN,1.3.2.06.01.05.047
3029,Stereoplotter,PERALATAN DAN MESIN,1.3.2.06.01.05.048
3030,Planicomp,PERALATAN DAN MESIN,1.3.2.06.01.05.049
3031,Meja Sinar,PERALATAN DAN MESIN,1.3.2.06.01.05.050
3032,Graver,PERALATAN DAN MESIN,1.3.2.06.01.05.051
3033,Pen Holder,PERALATAN DAN MESIN,1.3.2.06.01.05.052
3034,Alat Studio Pemetaan lainnya,PERALATAN DAN MESIN,1.3.2.06.01.05.053
3035,ALAT STUDIO LAINNYA,PERALATAN DAN MESIN,1.3.2.06.01.06.000
3036,Alat Studio Lainnya,PERALATAN DAN MESIN,1.3.2.06.01.06.001
3037,ALAT KOMUNIKASI,PERALATAN DAN MESIN,1.3.2.06.02.00.000
3038,ALAT KOMUNIKASI TELEPHONE,PERALATAN DAN MESIN,1.3.2.06.02.01.000
3039,Telephone (PABX),PERALATAN DAN MESIN,1.3.2.06.02.01.001
3040,Intermediate Telephone/Key Telephone,PERALATAN DAN MESIN,1.3.2.06.02.01.002
3041,Pesawat Telephone,PERALATAN DAN MESIN,1.3.2.06.02.01.003
3042,Telephone Mobile,PERALATAN DAN MESIN,1.3.2.06.02.01.004
3043,Pager,PERALATAN DAN MESIN,1.3.2.06.02.01.005
3044,Handy Talky (HT),PERALATAN DAN MESIN,1.3.2.06.02.01.006
3045,Telex,PERALATAN DAN MESIN,1.3.2.06.02.01.007
3046,Selective Colling,PERALATAN DAN MESIN,1.3.2.06.02.01.008
3047,Peralatan Spech Plas,PERALATAN DAN MESIN,1.3.2.06.02.01.009
3048,Facsimile,PERALATAN DAN MESIN,1.3.2.06.02.01.010
3049,Bidding Pit,PERALATAN DAN MESIN,1.3.2.06.02.01.011
3050,Local Battery Telephone,PERALATAN DAN MESIN,1.3.2.06.02.01.012
3051,Senhub Fixed,PERALATAN DAN MESIN,1.3.2.06.02.01.013
3052,Senhub Mobile,PERALATAN DAN MESIN,1.3.2.06.02.01.014
3053,Telepon Lapangan,PERALATAN DAN MESIN,1.3.2.06.02.01.015
3054,Sentral Telepon Lapangan,PERALATAN DAN MESIN,1.3.2.06.02.01.016
3055,Telepon Satelit,PERALATAN DAN MESIN,1.3.2.06.02.01.017
3056,Kom Data,PERALATAN DAN MESIN,1.3.2.06.02.01.018
3057,PDA,PERALATAN DAN MESIN,1.3.2.06.02.01.019
3058,Telepon Digital,PERALATAN DAN MESIN,1.3.2.06.02.01.020
3059,Telepon Analog,PERALATAN DAN MESIN,1.3.2.06.02.01.021
3060,alat komunikasi telephone  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.02.01.022
3061,ALAT KOMUNIKASI RADIO SSB,PERALATAN DAN MESIN,1.3.2.06.02.02.000
3062,Unit Tranceiver Ssb Portable,PERALATAN DAN MESIN,1.3.2.06.02.02.001
3063,Unit Tranceiver Ssb Transportable,PERALATAN DAN MESIN,1.3.2.06.02.02.002
3064,Unit Tranceiver Ssb Stationery,PERALATAN DAN MESIN,1.3.2.06.02.02.003
3065,alat komunikasi radio ssb  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.02.02.004
3066,ALAT KOMUNIKASI RADIO HF/FM,PERALATAN DAN MESIN,1.3.2.06.02.03.000
3067,Unit Tranceiver HF Portable,PERALATAN DAN MESIN,1.3.2.06.02.03.001
3068,Unit Tranceiver HF Transportable,PERALATAN DAN MESIN,1.3.2.06.02.03.002
3069,Unit Tranceiver HF Stationery,PERALATAN DAN MESIN,1.3.2.06.02.03.003
3070,Unit Tranceiver FM,PERALATAN DAN MESIN,1.3.2.06.02.03.004
3071,alat komunikasi radio hf/fm  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.02.03.005
3072,ALAT KOMUNIKASI RADIO VHF,PERALATAN DAN MESIN,1.3.2.06.02.04.000
3073,Unit Tranceiver VHF Portable,PERALATAN DAN MESIN,1.3.2.06.02.04.001
3074,Unit Tranceiver VHF Transportable,PERALATAN DAN MESIN,1.3.2.06.02.04.002
3075,Unit Tranceiver VHF Stationary,PERALATAN DAN MESIN,1.3.2.06.02.04.003
3076,alat komunikasi radio vhf  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.02.04.004
3077,ALAT KOMUNIKASI RADIO UHF,PERALATAN DAN MESIN,1.3.2.06.02.05.000
3078,Unit Tranceiver UHF Portable,PERALATAN DAN MESIN,1.3.2.06.02.05.001
3079,Unit Tranceiver UHF Transportable,PERALATAN DAN MESIN,1.3.2.06.02.05.002
3080,Unit Tranceiver UHF Stationary,PERALATAN DAN MESIN,1.3.2.06.02.05.003
3081,alat komunikasi radio uhf  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.02.05.004
3082,ALAT KOMUNIKASI SOSIAL,PERALATAN DAN MESIN,1.3.2.06.02.06.000
3083,Publik Address (Lapangan),PERALATAN DAN MESIN,1.3.2.06.02.06.001
3084,Wireless Amplifier,PERALATAN DAN MESIN,1.3.2.06.02.06.002
3085,Slide Projector (Lapangan),PERALATAN DAN MESIN,1.3.2.06.02.06.003
3086,Multiplex System,PERALATAN DAN MESIN,1.3.2.06.02.06.004
3087,Frequency Systhesizer Unit,PERALATAN DAN MESIN,1.3.2.06.02.06.005
3088,Patching Board,PERALATAN DAN MESIN,1.3.2.06.02.06.006
3089,alat komunikasi sosial  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.02.06.007
3090,ALAT-ALAT SANDI,PERALATAN DAN MESIN,1.3.2.06.02.07.000
3091,Morse Keyer,PERALATAN DAN MESIN,1.3.2.06.02.07.001
3092,Automatic Deorse Keyer,PERALATAN DAN MESIN,1.3.2.06.02.07.002
3093,Alat Semboyan,PERALATAN DAN MESIN,1.3.2.06.02.07.003
3094,Mesin Sandi dan Kelengkapannya,PERALATAN DAN MESIN,1.3.2.06.02.07.004
3095,Finger Printer Time and Attandance Acces Control System,PERALATAN DAN MESIN,1.3.2.06.02.07.005
3096,Mesin Sandi Teks,PERALATAN DAN MESIN,1.3.2.06.02.07.006
3097,Mesin Sandi Suara,PERALATAN DAN MESIN,1.3.2.06.02.07.007
3098,Mesin Sandi Data,PERALATAN DAN MESIN,1.3.2.06.02.07.008
3099,Mesin Sandi Berbasis Software,PERALATAN DAN MESIN,1.3.2.06.02.07.009
3100,Mesin Sandi Berbasis Hardware,PERALATAN DAN MESIN,1.3.2.06.02.07.010
3101,Mesin Sandi Berbasis Software dan Hardware,PERALATAN DAN MESIN,1.3.2.06.02.07.011
3102,Alat Pembangkit Kunci,PERALATAN DAN MESIN,1.3.2.06.02.07.012
3103,Alat Pendistribusi Kunci,PERALATAN DAN MESIN,1.3.2.06.02.07.013
3104,Crypthopone,PERALATAN DAN MESIN,1.3.2.06.02.07.014
3105,Crytofax,PERALATAN DAN MESIN,1.3.2.06.02.07.015
3106,Server Encription,PERALATAN DAN MESIN,1.3.2.06.02.07.016
3107,Handphone Encription,PERALATAN DAN MESIN,1.3.2.06.02.07.017
3108,GSM Jammer,PERALATAN DAN MESIN,1.3.2.06.02.07.018
3109,CDMA Jammer,PERALATAN DAN MESIN,1.3.2.06.02.07.019
3110,alat-alat sandi  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.02.07.020
3111,ALAT KOMUNIKASI KHUSUS,PERALATAN DAN MESIN,1.3.2.06.02.08.000
3112,Alat DF Radio SSB,PERALATAN DAN MESIN,1.3.2.06.02.08.001
3113,Super Broom,PERALATAN DAN MESIN,1.3.2.06.02.08.002
3114,Alat DF Radio HF/FM,PERALATAN DAN MESIN,1.3.2.06.02.08.003
3115,Scanlock Plus Ceberus,PERALATAN DAN MESIN,1.3.2.06.02.08.004
3116,Alat DF Radio VHF,PERALATAN DAN MESIN,1.3.2.06.02.08.005
3117,Stelath Digital Repeater,PERALATAN DAN MESIN,1.3.2.06.02.08.006
3118,Alat DF Radio UHF,PERALATAN DAN MESIN,1.3.2.06.02.08.007
3119,Tranking,PERALATAN DAN MESIN,1.3.2.06.02.08.008
3120,Telepon Taping,PERALATAN DAN MESIN,1.3.2.06.02.08.009
3121,Stelath,PERALATAN DAN MESIN,1.3.2.06.02.08.010
3122,Visatelit,PERALATAN DAN MESIN,1.3.2.06.02.08.011
3123,Mainframe (Alat Komunikasi Khusus),PERALATAN DAN MESIN,1.3.2.06.02.08.012
3124,Safe Light Filter,PERALATAN DAN MESIN,1.3.2.06.02.08.013
3125,Anti Sadap Telepon (Scanbler),PERALATAN DAN MESIN,1.3.2.06.02.08.014
3126,Billinf System,PERALATAN DAN MESIN,1.3.2.06.02.08.015
3127,Room Monitoring MC06,PERALATAN DAN MESIN,1.3.2.06.02.08.016
3128,Watch Transmiter,PERALATAN DAN MESIN,1.3.2.06.02.08.017
3129,Ashtray,PERALATAN DAN MESIN,1.3.2.06.02.08.018
3130,Non Direction Beacon (NDB),PERALATAN DAN MESIN,1.3.2.06.02.08.019
3131,Radio Link,PERALATAN DAN MESIN,1.3.2.06.02.08.020
3132,Localizer,PERALATAN DAN MESIN,1.3.2.06.02.08.021
3133,Glade Path,PERALATAN DAN MESIN,1.3.2.06.02.08.022
3134,Midle Marker,PERALATAN DAN MESIN,1.3.2.06.02.08.023
3135,Radio Communication Matching Switch (RCMS),PERALATAN DAN MESIN,1.3.2.06.02.08.024
3136,Direction Very Omni Range (DVOR),PERALATAN DAN MESIN,1.3.2.06.02.08.025
3137,Integrated Ground Caommunication System (SGRS),PERALATAN DAN MESIN,1.3.2.06.02.08.026
3138,Switching Ground Receiver System (SGRS),PERALATAN DAN MESIN,1.3.2.06.02.08.027
3139,Alat Rx Radio SSb,PERALATAN DAN MESIN,1.3.2.06.02.08.028
3140,Alat Rx Radio HF/FM,PERALATAN DAN MESIN,1.3.2.06.02.08.029
3141,Alat Rx Radio VHF,PERALATAN DAN MESIN,1.3.2.06.02.08.030
3142,Alat Rx Radio UHF,PERALATAN DAN MESIN,1.3.2.06.02.08.031
3143,Alat Jamming Radio SSB,PERALATAN DAN MESIN,1.3.2.06.02.08.032
3144,Alat Jamming Radio HF/FM,PERALATAN DAN MESIN,1.3.2.06.02.08.033
3145,Alat Jamming Radio VHF,PERALATAN DAN MESIN,1.3.2.06.02.08.034
3146,Alat Jamming Radio UHF,PERALATAN DAN MESIN,1.3.2.06.02.08.035
3147,Alat Spektrum Frek Monitor SSB,PERALATAN DAN MESIN,1.3.2.06.02.08.036
3148,Alat Spektrum Frek Monitor HF/FM,PERALATAN DAN MESIN,1.3.2.06.02.08.037
3149,Alat Spektrum Frek Monitor VHF,PERALATAN DAN MESIN,1.3.2.06.02.08.038
3150,Alat Spektrum Frek Monitor UHF,PERALATAN DAN MESIN,1.3.2.06.02.08.039
3151,Alat Traffic Analysis,PERALATAN DAN MESIN,1.3.2.06.02.08.040
3152,Alat Countersurveillance,PERALATAN DAN MESIN,1.3.2.06.02.08.041
3153,Alat Surveillance,PERALATAN DAN MESIN,1.3.2.06.02.08.042
3154,Alat Jamming Frekuensi,PERALATAN DAN MESIN,1.3.2.06.02.08.043
3155,Alat Pengendali Pancaran Gelombang Elektromagnetik (Tempest),PERALATAN DAN MESIN,1.3.2.06.02.08.044
3156,Maritim Communication (Marcom),PERALATAN DAN MESIN,1.3.2.06.02.08.045
3157,Navigation Telex (NAVTEX),PERALATAN DAN MESIN,1.3.2.06.02.08.046
3158,alat komunikasi khusus  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.02.08.047
3159,ALAT KOMUNIKASI DIGITAL DAN KONVENSIONAL,PERALATAN DAN MESIN,1.3.2.06.02.09.000
3160,System Control Node Multi Site System,PERALATAN DAN MESIN,1.3.2.06.02.09.001
3161,Site Base stataion Multi Site System,PERALATAN DAN MESIN,1.3.2.06.02.09.002
3162,Controll Center,PERALATAN DAN MESIN,1.3.2.06.02.09.003
3163,E2EEncryption Management Tools,PERALATAN DAN MESIN,1.3.2.06.02.09.004
3164,Network Monitoring System,PERALATAN DAN MESIN,1.3.2.06.02.09.005
3165,Switching Matrix and Server,PERALATAN DAN MESIN,1.3.2.06.02.09.006
3166,Digital Recording System,PERALATAN DAN MESIN,1.3.2.06.02.09.007
3167,Official Pheripheral,PERALATAN DAN MESIN,1.3.2.06.02.09.008
3168,Mobile Unit,PERALATAN DAN MESIN,1.3.2.06.02.09.009
3169,Mobile Gateway,PERALATAN DAN MESIN,1.3.2.06.02.09.010
3170,Convert Body,PERALATAN DAN MESIN,1.3.2.06.02.09.011
3171,Repeater RX/TX,PERALATAN DAN MESIN,1.3.2.06.02.09.012
3172,Repeater Multiband Combiner 4 in 4out,PERALATAN DAN MESIN,1.3.2.06.02.09.013
3173,Repeater Multiband Combiner 4 in 2out,PERALATAN DAN MESIN,1.3.2.06.02.09.014
3174,Repeater Multiband Combiner 2 in 2out,PERALATAN DAN MESIN,1.3.2.06.02.09.015
3175,Repeater CDMA 80PO MHz,PERALATAN DAN MESIN,1.3.2.06.02.09.016
3176,Repeater CDS 1800 MHz,PERALATAN DAN MESIN,1.3.2.06.02.09.017
3177,alat komunikasi digital dan konvensional  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.02.09.018
3178,ALAT KOMUNIKASI SATELIT,PERALATAN DAN MESIN,1.3.2.06.02.10.000
3179,Fully System HUB,PERALATAN DAN MESIN,1.3.2.06.02.10.001
3180,VSAT System for Remote Terminal,PERALATAN DAN MESIN,1.3.2.06.02.10.002
3181,Commob (Communication Mobile) VSAT,PERALATAN DAN MESIN,1.3.2.06.02.10.003
3182,Wireless Base Station + Surveillance Manpack Kit,PERALATAN DAN MESIN,1.3.2.06.02.10.004
3183,Flyaway,PERALATAN DAN MESIN,1.3.2.06.02.10.005
3184,Encryption,PERALATAN DAN MESIN,1.3.2.06.02.10.006
3185,Remote Data Connection Distribution,PERALATAN DAN MESIN,1.3.2.06.02.10.007
3186,Remote VoIP Gateway E1 Card Interface,PERALATAN DAN MESIN,1.3.2.06.02.10.008
3187,Spectrum Analyzer for HUB Station,PERALATAN DAN MESIN,1.3.2.06.02.10.009
3188,Spectrum Analyzer Portable for Field Use,PERALATAN DAN MESIN,1.3.2.06.02.10.010
3189,UPS 15 KVA for HUB Station,PERALATAN DAN MESIN,1.3.2.06.02.10.011
3190,UPS 1 KVA for Remote Station,PERALATAN DAN MESIN,1.3.2.06.02.10.012
3191,alat komunikasi satelit  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.02.10.013
3192,ALAT KOMUNIKASI LAINNYA,PERALATAN DAN MESIN,1.3.2.06.02.11.000
3193,alat komunikasi lainnya  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.02.11.001
3194,PERALATAN PEMANCAR,PERALATAN DAN MESIN,1.3.2.06.03.00.000
3195,PERALATAN PEMANCAR MF/MW,PERALATAN DAN MESIN,1.3.2.06.03.01.000
3196,Unit Pemancar MF/MW Portable,PERALATAN DAN MESIN,1.3.2.06.03.01.001
3197,Unit Pemancar MF/MW Transportable,PERALATAN DAN MESIN,1.3.2.06.03.01.002
3198,Unit Pemancar MF/MW Stationary,PERALATAN DAN MESIN,1.3.2.06.03.01.003
3199,peralatan pemancar mf/mw  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.03.01.004
3200,PERALATAN PEMANCAR HF/SW,PERALATAN DAN MESIN,1.3.2.06.03.02.000
3201,Unit Pemancar HF/SW Portable,PERALATAN DAN MESIN,1.3.2.06.03.02.001
3202,Unit Pemancar HF/SW Transportable,PERALATAN DAN MESIN,1.3.2.06.03.02.002
3203,Unit Pemancar HF/SW Stationary,PERALATAN DAN MESIN,1.3.2.06.03.02.003
3204,peralatan pemancar hf/sw  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.03.02.004
3205,PERALATAN PEMANCAR VHF/FM,PERALATAN DAN MESIN,1.3.2.06.03.03.000
3206,Unit Pemancar VHF/FM Portable,PERALATAN DAN MESIN,1.3.2.06.03.03.001
3207,Unit Pemancar VHF/FM Transportable,PERALATAN DAN MESIN,1.3.2.06.03.03.002
3208,Unit Pemancar VHF/FM Stationary,PERALATAN DAN MESIN,1.3.2.06.03.03.003
3209,peralatan pemancar vhf/fm  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.03.03.004
3210,PERALATAN PEMANCAR UHF,PERALATAN DAN MESIN,1.3.2.06.03.04.000
3211,Unit Pemancar UHF Portable,PERALATAN DAN MESIN,1.3.2.06.03.04.001
3212,Unit Pemancar UHF Transportable,PERALATAN DAN MESIN,1.3.2.06.03.04.002
3213,Unit Pemancar UHF Stationary,PERALATAN DAN MESIN,1.3.2.06.03.04.003
3214,Portable Reporter Link,PERALATAN DAN MESIN,1.3.2.06.03.04.004
3215,peralatan pemancar uhf  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.03.04.005
3216,PERALATAN PEMANCAR SHF,PERALATAN DAN MESIN,1.3.2.06.03.05.000
3217,Unit Pemancar SHF Portable,PERALATAN DAN MESIN,1.3.2.06.03.05.001
3218,Unit Pemancar SHF Transportable,PERALATAN DAN MESIN,1.3.2.06.03.05.002
3219,Unit Pemancar SHF Stationary,PERALATAN DAN MESIN,1.3.2.06.03.05.003
3220,Satellite Link ( Up/Down Link ),PERALATAN DAN MESIN,1.3.2.06.03.05.004
3221,peralatan pemancar shf  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.03.05.005
3222,PERALATAN ANTENA MF/MW,PERALATAN DAN MESIN,1.3.2.06.03.06.000
3223,Antene MF/MW Portable,PERALATAN DAN MESIN,1.3.2.06.03.06.001
3224,Antene MF/MW Transportable,PERALATAN DAN MESIN,1.3.2.06.03.06.002
3225,Antene MF/MW Stationary,PERALATAN DAN MESIN,1.3.2.06.03.06.003
3226,peralatan antena mf/mw  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.03.06.004
3227,PERALATAN ANTENA HF/SW,PERALATAN DAN MESIN,1.3.2.06.03.07.000
3228,Antene HF/SW Portable,PERALATAN DAN MESIN,1.3.2.06.03.07.001
3229,Antene HF/SW Transportable,PERALATAN DAN MESIN,1.3.2.06.03.07.002
3230,Antene HF/SW Stationary,PERALATAN DAN MESIN,1.3.2.06.03.07.003
3231,peralatan antena hf/sw  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.03.07.004
3232,PERALATAN ANTENA VHF/FM,PERALATAN DAN MESIN,1.3.2.06.03.08.000
3233,Antene VHF/FM Portable,PERALATAN DAN MESIN,1.3.2.06.03.08.001
3234,Antene VHF/FM Transportable,PERALATAN DAN MESIN,1.3.2.06.03.08.002
3235,Antene VHF/FM Stationary,PERALATAN DAN MESIN,1.3.2.06.03.08.003
3236,peralatan antena vhf/fm  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.03.08.004
3237,PERALATAN ANTENA UHF,PERALATAN DAN MESIN,1.3.2.06.03.09.000
3238,Antene UHF Portable,PERALATAN DAN MESIN,1.3.2.06.03.09.001
3239,Antene UHF Transportable,PERALATAN DAN MESIN,1.3.2.06.03.09.002
3240,Antene UHF Stationary,PERALATAN DAN MESIN,1.3.2.06.03.09.003
3241,peralatan antena uhf  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.03.09.004
3242,PEERALATAN ANTENA SHF/PARABOLA,PERALATAN DAN MESIN,1.3.2.06.03.10.000
3243,Antene SHF Portable,PERALATAN DAN MESIN,1.3.2.06.03.10.001
3244,Antene SHF Transportable,PERALATAN DAN MESIN,1.3.2.06.03.10.002
3245,Antene SHF Stationary,PERALATAN DAN MESIN,1.3.2.06.03.10.003
3246,Antena All Band,PERALATAN DAN MESIN,1.3.2.06.03.10.004
3247,Antena SSB,PERALATAN DAN MESIN,1.3.2.06.03.10.005
3248,peeralatan antena shf/parabola  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.03.10.006
3249,PERALATAN TRANSLATOR VHF/VHF,PERALATAN DAN MESIN,1.3.2.06.03.11.000
3250,Translator VHF/VHF Portable,PERALATAN DAN MESIN,1.3.2.06.03.11.001
3251,Translator VHF/VHF Transportable,PERALATAN DAN MESIN,1.3.2.06.03.11.002
3252,Translator VHF/VHF Stationary,PERALATAN DAN MESIN,1.3.2.06.03.11.003
3253,peralatan translator vhf/vhf  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.03.11.004
3254,PERALATAN TRANSLATOR UHF/UHF,PERALATAN DAN MESIN,1.3.2.06.03.12.000
3255,Translator UHF/UHF Portable,PERALATAN DAN MESIN,1.3.2.06.03.12.001
3256,Translator UHF/UHF Transportable,PERALATAN DAN MESIN,1.3.2.06.03.12.002
3257,Translator UHF/UHF Stationary,PERALATAN DAN MESIN,1.3.2.06.03.12.003
3258,peralatan translator uhf/uhf  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.03.12.004
3259,PERALATAN TRANSLATOR VHF/UHF,PERALATAN DAN MESIN,1.3.2.06.03.13.000
3260,Translator VHF/UHF Portable,PERALATAN DAN MESIN,1.3.2.06.03.13.001
3261,Translator VHF/UHF Transportable,PERALATAN DAN MESIN,1.3.2.06.03.13.002
3262,Translator VHF/UHF Stationary,PERALATAN DAN MESIN,1.3.2.06.03.13.003
3263,peralatan translator vhf/uhf  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.03.13.004
3264,PERALATAN TRANSLATOR UHF/VHF,PERALATAN DAN MESIN,1.3.2.06.03.14.000
3265,Translator UHF/VHF Portable,PERALATAN DAN MESIN,1.3.2.06.03.14.001
3266,Translator UHF/VHF Transportable,PERALATAN DAN MESIN,1.3.2.06.03.14.002
3267,Translator UHF/VHF Stationary,PERALATAN DAN MESIN,1.3.2.06.03.14.003
3268,peralatan translator uhf/vhf  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.03.14.004
3269,PERALATAN MICROWAVE F P U,PERALATAN DAN MESIN,1.3.2.06.03.15.000
3270,Microwave F P U Portable,PERALATAN DAN MESIN,1.3.2.06.03.15.001
3271,Microwave F P U Transportable,PERALATAN DAN MESIN,1.3.2.06.03.15.002
3272,Microwave F P U Stationary,PERALATAN DAN MESIN,1.3.2.06.03.15.003
3273,peralatan microwave f p u  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.03.15.004
3274,PERALATAN MICROWAVE TERESTRIAL,PERALATAN DAN MESIN,1.3.2.06.03.16.000
3275,Microwave Terestrial Portable,PERALATAN DAN MESIN,1.3.2.06.03.16.001
3276,Microwave Terestrial Transportable,PERALATAN DAN MESIN,1.3.2.06.03.16.002
3277,Microwave Terestrial Stationary,PERALATAN DAN MESIN,1.3.2.06.03.16.003
3278,peralatan microwave terestrial  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.03.16.004
3279,PERALATAN MICROWAVE TVRO,PERALATAN DAN MESIN,1.3.2.06.03.17.000
3280,Microwave TVRO Portable,PERALATAN DAN MESIN,1.3.2.06.03.17.001
3281,Microwave TVRO Transportable,PERALATAN DAN MESIN,1.3.2.06.03.17.002
3282,Microwave TVRO Stationary,PERALATAN DAN MESIN,1.3.2.06.03.17.003
3283,peralatan microwave tvro  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.03.17.004
3284,PERALATAN DUMMY LOAD,PERALATAN DAN MESIN,1.3.2.06.03.18.000
3285,Dummy Load Pendingin Udara,PERALATAN DAN MESIN,1.3.2.06.03.18.001
3286,Dummy Load Pendingin Air,PERALATAN DAN MESIN,1.3.2.06.03.18.002
3287,Dummy Load Pendingin Minyak,PERALATAN DAN MESIN,1.3.2.06.03.18.003
3288,Dummy Load Pendingin Gas,PERALATAN DAN MESIN,1.3.2.06.03.18.004
3289,peralatan dummy load  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.03.18.005
3290,SWITCHER ANTENA,PERALATAN DAN MESIN,1.3.2.06.03.19.000
3291,Switcher Combination,PERALATAN DAN MESIN,1.3.2.06.03.19.001
3292,Switcher Manual,PERALATAN DAN MESIN,1.3.2.06.03.19.002
3293,Switcher Automatic Motor,PERALATAN DAN MESIN,1.3.2.06.03.19.003
3294,switcher antena  lainnya (dst),PERALATAN DAN MESIN,1.3.2.06.03.19.004
3295,SWITCHER/MENARA ANTENA,PERALATAN DAN MESIN,1.3.2.06.03.20.000
